MAIL,FREIGHT,PASSENGERS,DISTANCE_GROUP,DISTANCE,DEST_AIRPORT_ID,DEST_CITY_NAME,DEST,ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,ORIGIN,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER,MONTH,QUARTER,YEAR
0.0,1634.0,5715.0,1,187.0,12191,"Houston, TX",HOU,11140,"Corpus Christi, TX",CRP,Southwest Airlines Co.,WN,1,1,2025
0.0,0.0,5717.0,1,417.0,14679,"San Diego, CA",SAN,14831,"San Jose, CA",SJC,Spirit Air Lines,NK,1,1,2025
0.0,6671.0,5717.0,1,234.0,11603,"Eugene, OR",EUG,14747,"Seattle, WA",SEA,Horizon Air,QX,1,1,2025
0.0,7194.0,5719.0,2,529.0,11057,"Charlotte, NC",CLT,11618,"Newark, NJ",EWR,United Air Lines Inc.,UA,1,1,2025
0.0,0.0,5720.0,5,2462.0,12173,"Honolulu, HI",HNL,14893,"Sacramento, CA",SMF,Hawaiian Airlines Inc.,HA,1,1,2025
0.0,2.0,5720.0,1,119.0,15323,"Bristol/Johnson City/Kingsport, TN",TRI,11057,"Charlotte, NC",CLT,Piedmont Airlines,PT,1,1,2025
0.0,28694.0,5725.0,4,1703.0,11292,"Denver, CO",DEN,11697,"Fort Lauderdale, FL",FLL,Southwest Airlines Co.,WN,1,1,2025
0.0,0.0,5727.0,1,196.0,11292,"Denver, CO",DEN,13502,"Montrose/Delta, CO",MTJ,Southwest Airlines Co.,WN,1,1,2025
0.0,5751.0,5728.0,6,2724.0,14747,"Seattle, WA",SEA,13303,"Miami, FL",MIA,Alaska Airlines Inc.,AS,1,1,2025
0.0,9.0,5730.0,1,363.0,13891,"Ontario, CA",ONT,14771,"San Francisco, CA",SFO,United Air Lines Inc.,UA,1,1,2025
0.0,0.0,5731.0,3,1096.0,12953,"New York, NY",LGA,13303,"Miami, FL",MIA,Frontier Airlines Inc.,F9,1,1,2025
0.0,0.0,5732.0,3,1062.0,11697,"Fort Lauderdale, FL",FLL,11042,"Cleveland, OH",CLE,Frontier Airlines Inc.,F9,1,1,2025
14008.0,29792.0,5734.0,2,571.0,10299,"Anchorage, AK",ANC,12523,"Juneau, AK",JNU,Alaska Airlines Inc.,AS,1,1,2025
0.0,0.0,5736.0,2,599.0,14869,"Salt Lake City, UT",SLC,14771,"San Francisco, CA",SFO,SkyWest Airlines Inc.,OO,1,1,2025
0.0,3440.0,5736.0,6,2534.0,13204,"Orlando, FL",MCO,14057,"Portland, OR",PDX,Alaska Airlines Inc.,AS,1,1,2025
0.0,13219.0,5736.0,1,393.0,13487,"Minneapolis, MN",MSP,13198,"Kansas City, MO",MCI,Delta Air Lines Inc.,DL,1,1,2025
0.0,0.0,5740.0,2,679.0,14771,"San Francisco, CA",SFO,14747,"Seattle, WA",SEA,SkyWest Airlines Inc.,OO,1,1,2025
